,,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount,amount
payment_year,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,UnRedeemed
county,vocationaluse,,,,,,,,,,,,,,
Alameda County,Bus - Heavy Duty/Transit,,,,,,,,,,,835000.0,,,
Alameda County,Bus - Medium Duty,,,,,,,,,,200000.0,,,,467000.0
Alameda County,Bus - School,,,,,,,,,,2010000.0,1980000.0,440000.0,,6428500.0
Alameda County,Misc / other,30000.0,,,60000.0,,,,23000.0,23000.0,,643000.0,145000.0,,1053000.0
Alameda County,Panel/ Step/ Cargo Van,,600000.0,315000.0,140000.0,35000.0,,,,180000.0,72000.0,12000.0,,,4432000.0
Alameda County,Truck - Box,120000.0,520000.0,215000.0,488000.0,333000.0,202000.0,394000.0,154000.0,15000.0,30000.0,15000.0,,,884750.0
Alameda County,Truck - Straight,55000.0,,,37000.0,,,,,,,,,,2285000.0
Alameda County,Truck - Tractor,565000.0,1115000.0,,,,,,,700000.0,915000.0,500000.0,1042000.0,100000.0,2263000.0
Alameda County,※ Infrastructure,,,,,,,,,,29450.0,208900.0,,,
Amador County,Bus - Medium Duty,,,,,,,,,,,,,,69000.0
Amador County,Bus - School,,,,,,,,,,,,,,1897500.0
Butte County,Bus - School,,,,,,,,,,,220000.0,,,440000.0
Butte County,Truck - Box,,,,,,,,,15000.0,,,,,
Butte County,※ Infrastructure,,,,,,,,,,,,,2550.0,5211.0
Calaveras County,Bus - Medium Duty,,,,,,,,,,,,,,51750.0
Contra Costa County,Bus - Heavy Duty/Transit,,,,,,,,,322000.0,320000.0,,,,85000.0
Contra Costa County,Bus - Medium Duty,,,,,,,60000.0,,130000.0,,,,,170000.0
Contra Costa County,Bus - School,,,,,,,,,490000.0,235000.0,235000.0,1320000.0,,4395000.0
Contra Costa County,Misc / other,,,,,111000.0,,,,,,27000.0,,,133500.0
Contra Costa County,Panel/ Step/ Cargo Van,,,27000.0,,,60000.0,,,,6000.0,,,,453500.0
Contra Costa County,Truck - Box,,,45000.0,112000.0,,92000.0,156000.0,,15000.0,15000.0,,,,60000.0
Contra Costa County,Truck - Straight,,,,,,,,,,,,,,840000.0
Contra Costa County,Truck - Tractor,,,,,,,,,,175000.0,515000.0,,,85000.0
Contra Costa County,※ Infrastructure,,,,,,,,,,,24000.0,,,
El Dorado County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,360000.0
El Dorado County,Bus - School,,,,,,,,,,,440000.0,,,792000.0
El Dorado County,Misc / other,,,,,,,,,,,12000.0,240000.0,,
El Dorado County,※ Infrastructure,,,,,,,,,,,,16217.0,,90000.0
Fresno County,Bus - Heavy Duty/Transit,,,,,,,,,,270000.0,,330000.0,,2949000.0
Fresno County,Bus - Medium Duty,,,,,,,,250000.0,110000.0,,160000.0,,,171750.0
Fresno County,Bus - School,,,135000.0,,,,,87350.0,,980000.0,660000.0,,,2113750.0
Fresno County,Misc / other,,,,,,,,,,,56000.0,50000.0,,780000.0
Fresno County,Panel/ Step/ Cargo Van,,,,450000.0,,,,,130000.0,,,,,3410000.0
Fresno County,Truck - Box,50000.0,25000.0,90000.0,796000.0,621000.0,325000.0,432000.0,138000.0,138000.0,30000.0,,,660000.0,
Fresno County,Truck - Straight,,,,,,,,,,,,,,1300000.0
Fresno County,Truck - Tractor,805000.0,185000.0,,,,,,,,405000.0,,,,7728000.0
Fresno County,※ Infrastructure,,,,,,,,,,,,58900.0,,
Humboldt County,Bus - Heavy Duty/Transit,,,,,,,,,,150000.0,,,,
Humboldt County,Bus - Medium Duty,,,,,,,,,,,,,,69000.0
Humboldt County,Truck - Tractor,105000.0,,,,,,,,,,,,,
Imperial County,Misc / other,,,,,,,,,,,236000.0,,,
Imperial County,Panel/ Step/ Cargo Van,,,12000.0,,,,,,,12000.0,,,,
Imperial County,Truck - Box,,,,,23000.0,,,,,,,,,
Imperial County,Truck - Tractor,,,,,,,,,,,,,,276000.0
Inyo County,Panel/ Step/ Cargo Van,,,,,,,,,,,,,,51750.0
Kern County,Bus - Heavy Duty/Transit,,,,,,,,,,,360000.0,150000.0,,1644000.0
Kern County,Bus - Medium Duty,,,85000.0,,,180000.0,50000.0,,,,180000.0,,,1467750.0
Kern County,Bus - School,,,,,,,,,,,,,,198000.0
Kern County,Misc / other,,,,,,,,,,180000.0,,,,600000.0
Kern County,Panel/ Step/ Cargo Van,30000.0,50000.0,180000.0,1080000.0,,65000.0,,,,,,,,446000.0
Kern County,Truck - Box,,25000.0,,155000.0,138000.0,87000.0,92000.0,23000.0,,,,,,1496000.0
Kern County,Truck - Straight,,,,45000.0,,,,,,,,,,
Kern County,Truck - Tractor,385000.0,,,,,,,,525000.0,180000.0,1282000.0,135000.0,,480000.0
Kern County,※ Infrastructure,,,,,,,,,,,118350.0,90000.0,,
Kings County,Bus - School,,,,,,,,,,,,,,198000.0
Kings County,Truck - Box,,,,25000.0,46000.0,,,,,,,,,66000.0
Los Angeles County,Bus - Heavy Duty/Transit,245000.0,40000.0,,,,690000.0,526000.0,1034000.0,1672000.0,7153000.0,26368500.0,11468000.0,965000.0,52967745.64
Los Angeles County,Bus - Medium Duty,,25000.0,,,,645000.0,890000.0,2250000.0,,1215000.0,7430000.0,2180000.0,402445.0,1700647.0
Los Angeles County,Bus - School,,,,,,,,,,1000000.0,2140000.0,,,22939962.48
Los Angeles County,Misc / other,,,,70000.0,,23000.0,44000.0,1518513.0,2975920.0,2799328.0,7362000.0,1848000.0,,5840750.0
Los Angeles County,Panel/ Step/ Cargo Van,160000.0,255000.0,291000.0,502000.0,50000.0,65000.0,130000.0,60000.0,725000.0,620000.0,,200000.0,,11481000.0
Los Angeles County,Truck - Box,50000.0,1575000.0,195000.0,4455000.0,2151000.0,1902000.0,1614000.0,1131000.0,1012000.0,730000.0,257500.0,387000.0,355000.0,8327345.12
Los Angeles County,Truck - Straight,,690000.0,,,,,,,,,,,,6388000.0
Los Angeles County,Truck - Tractor,1060000.0,1825000.0,,,,,,,2594667.0,2955000.0,4332000.0,10087843.09,630000.0,85809000.0
Los Angeles County,※ Infrastructure,,,,,,,,,,,1014850.0,575511.0,51200.0,2308701.0
Madera County,Bus - School,,,,,,,,,,,,,,828000.0
Madera County,Truck - Box,,,,,46000.0,23000.0,46000.0,,23000.0,,,,,
Marin County,Bus - Heavy Duty/Transit,,,,,,,,,,130000.0,130000.0,,,
Marin County,Bus - Medium Duty,,,,,,,,,,,,,,60000.0
Marin County,Bus - School,,,,40000.0,,,,,,,,,,
Marin County,Misc / other,,,,45000.0,50000.0,,50000.0,,,,12000.0,,,
Marin County,Panel/ Step/ Cargo Van,,,,,,,,,,,,,,60000.0
Marin County,Truck - Box,,,,,23000.0,23000.0,,23000.0,,,,,,
Mariposa County,Bus - Heavy Duty/Transit,,,,,,,,,,320000.0,,,,
Mendocino County,Bus - Heavy Duty/Transit,,,,31776.120000000003,,,,,,,,,,
Mendocino County,Bus - Medium Duty,,,,,,,,,,,,,,207000.0
Mendocino County,Misc / other,,,25000.0,,,,,,,,,,,
Mendocino County,Truck - Tractor,,,,,,,,,,,320000.0,,,
Mendocino County,※ Infrastructure,,,,,,,,,,,12000.0,,,
Merced County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,1200000.0
Merced County,Bus - School,,,,,,,,,,,,,210000.0,
Merced County,Truck - Box,,25000.0,,91000.0,92000.0,,,23000.0,,,,,,
Monterey County,Bus - Heavy Duty/Transit,,,,,,,,,,260000.0,,,,
Monterey County,Bus - Medium Duty,,,,80000.0,,,,,,,,,,
Monterey County,Bus - School,,,,,,,,,245000.0,,1100000.0,100000.0,,3366000.0
Monterey County,Misc / other,,,,,,,,,,,6000.0,,,312380.1
Monterey County,Truck - Box,,,,,,46000.0,100000.0,72000.0,15000.0,,,,,
Monterey County,Truck - Tractor,105000.0,100000.0,,,,,,,,,,,,
Monterey County,※ Infrastructure,,,,,,,,,,,,5926.5,,
Napa County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,966000.0
Napa County,Bus - School,,,215000.0,,,,,,,,,,,
Napa County,Truck - Box,,,,,,46000.0,,,,,,,,
Napa County,Truck - Straight,,,,,,,,,,,,,,530000.0
Napa County,Truck - Tractor,,,,,,,,,,,,,,720000.0
Orange County,Bus - Heavy Duty/Transit,,,,,,,,,,2930000.0,270000.0,4200000.0,,3120000.0
Orange County,Bus - Medium Duty,,,,,,,230000.0,,,250000.0,90000.0,120000.0,,420000.0
Orange County,Bus - School,,,,,,,,,,960000.0,1385000.0,675000.0,594000.0,7263088.1
Orange County,Misc / other,,25000.0,,,,,,215604.0,110000.0,325000.0,83000.0,790000.0,200000.0,4004000.0
Orange County,Panel/ Step/ Cargo Van,,80000.0,75000.0,350000.0,,,,,360000.0,96000.0,12000.0,,,10375000.0
Orange County,Truck - Box,,,25000.0,1883000.0,566000.0,685000.0,719000.0,230000.0,481000.0,75000.0,90000.0,,,997500.0
Orange County,Truck - Straight,,1105000.0,,,,,,,,,,,,300000.0
Orange County,Truck - Tractor,175000.0,1085000.0,,,,,,,,825000.0,195000.0,,,4145000.0
Orange County,※ Infrastructure,,,,,,,,,,58900.0,55450.0,,,627000.0
Placer County,Bus - Heavy Duty/Transit,,,,,,,,,,,,,,775000.0
Placer County,Bus - Medium Duty,,,,,,,,,,,160000.0,,,
Placer County,Bus - School,,,,,,,,,,440000.0,460000.0,,,3766250.0
Placer County,Misc / other,,,,,,,50000.0,,,,86000.0,,,32000.0
Placer County,Panel/ Step/ Cargo Van,,,,,,,,,,,,1200000.0,,138000.0
Placer County,Truck - Box,,,,,,,,,,,,,,425000.0
Placer County,Truck - Straight,,,,,,,,,,,,,,198000.0
Placer County,Truck - Tractor,,,,,,,,,,,,,,276000.0
Placer County,※ Infrastructure,,,,,,,,,,,92740.0,,55278.9,
Plumas County,Truck - Box,,25000.0,,,,,,,,,,,,
Riverside County,Bus - Heavy Duty/Transit,,,,,,,,,1500000.0,340000.0,350000.0,,,1290000.0
Riverside County,Bus - Medium Duty,,,,,,,,,,,90000.0,,,165000.0
Riverside County,Bus - School,,,,,,,,,520000.0,240000.0,,,,7126200.0
Riverside County,Misc / other,80000.0,,,,,,,,30000.0,,149000.0,,,82000.0
Riverside County,Panel/ Step/ Cargo Van,,100000.0,,,,,,,,6000.0,6000.0,,,1800000.0
Riverside County,Truck - Box,,25000.0,,581000.0,243000.0,266000.0,279000.0,23000.0,53000.0,135000.0,,,,280500.0
Riverside County,Truck - Tractor,880000.0,225000.0,,,,,,,510000.0,330000.0,3700000.0,270000.0,,12408000.0
Riverside County,※ Infrastructure,,,,,,,,,,6000.0,682530.0,,,
Sacramento County,Bus - Heavy Duty/Transit,,,,,,,,,,600000.0,900000.0,,,82013.0
Sacramento County,Bus - Medium Duty,,,25000.0,,,,,,,390000.0,450000.0,,,543653.5
Sacramento County,Bus - School,,,,,,,,,,2055000.0,,3300000.0,,16818413.0
Sacramento County,Misc / other,,,,127000.0,,96000.0,,,178000.0,446000.0,549000.0,,,744000.0
Sacramento County,Panel/ Step/ Cargo Van,,600000.0,,,,,,,,,,180000.0,,921197.0
Sacramento County,Truck - Box,100000.0,,45000.0,,109000.0,,46000.0,,,100000.0,810000.0,,,4829000.0
Sacramento County,Truck - Tractor,,675000.0,,,,,,,,340000.0,,,,966039.0
Sacramento County,※ Infrastructure,,,,,,,,,,,108490.0,,,224153.0
San Benito County,Bus - School,,,,,,,,,,,220000.0,,,1471500.0
